Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,n_estimators
NGD,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.505740318347123,-0.3806514926164208,-0.23752323011270918,0.1702901602328388,2.1292246577614318,-2.2353111424403713,0,0,100
HL,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.6428420597223979,-0.42586709804370826,0.09606590506564876,0.3542480504000809,6.691677544526309,-1.2021720304818677,1,0,100
AMD,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.4146373893335297,-0.26023559772123445,-0.17542406731509072,0.1092274942659384,2.363628866207806,-2.3825100032747573,0,0,100
KO,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.06565553381681619,0.024083165211061,-0.010882499806223014,0.0488420405641897,6.0331297942474515,0.4930826995119127,0,0,100
XOM,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.2461269870380022,-0.2346652115344148,0.34508704255787914,0.1585451697794574,0.713231610244308,-1.4801158046053589,0,0,100
JHX,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.08839383999933131,-0.1382027607735374,0.05694468855090292,0.17910214970698832,1.552275414068091,-0.7716421103802359,1,0,100
TSCO,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.33982549743115836,0.01314871077885339,0.13654625083625557,0.050157705665463494,2.4887208206007245,0.2621473730587132,1,0,100
VZ,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.07529860209459409,0.0228707497200741,-0.019116610711880196,-0.01069549663370789,3.938909633588922,-2.1383532250381645,0,1,100
BMY,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.07982956609532361,0.11546089332473249,0.02693579000950269,0.05029933375207549,2.9636987096781087,2.2954756000116654,1,1,100
USB,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.2283848657768428,-0.04723652212609431,0.18106280410576922,0.036442547402820505,1.2613571677782591,-1.2961915533500383,1,0,100
LUV,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.13437126227230387,0.12573742563366105,0.2580244100940129,-0.07457389622341862,0.5207695745660064,-1.6860782660055709,0,1,100
FAST,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.053160499249587406,-0.02887948532324669,-0.01140307608437669,0.056630084076363114,4.661943747128233,-0.5099671984294427,0,0,100
HPQ,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.12468570468066859,0.00010152902727292171,0.2119305005054841,-0.004224679612044304,0.5883329883300215,-0.024032361408772546,0,1,100
TGT,2020-12-22,2021-03-24,2021-03-25,2021-06-23,0.06924642302387149,0.11675893909815191,0.10239813847198792,0.2173443454186442,0.6762468933242821,0.5372071625477683,0,0,100
TJX,2020-12-22,2021-03-24,2021-03-25,2021-06-23,-0.08569557307078834,0.01173406094471318,-0.02715122727940831,0.02216147237498792,3.156232025495971,0.5294802053836721,0,0,100
ORCL,2021-03-25,2021-06-23,2021-06-24,2021-09-22,0.0919658529431073,-0.01242351515933459,0.14055397221821564,0.13763022712358347,0.6543098817607705,-0.09026734474672514,0,0,100
ERIC,2021-03-25,2021-06-23,2021-06-24,2021-09-22,-0.25638944446096834,-0.048585902781027195,-0.04460457303747821,-0.11762466158767551,5.748052878917631,0.4130588103313016,0,1,100
MSTR,2021-03-25,2021-06-23,2021-06-24,2021-09-22,-0.07735124905325881,-0.4133575350276136,-0.019299441853947316,0.11138098380996364,4.007952646435635,-3.7112038418773285,0,0,100
NVO,2021-03-25,2021-06-23,2021-06-24,2021-09-22,0.13761982016333402,0.062166662962172506,0.20851342793891342,0.2169196213041066,0.6600045931029989,0.28658847267218424,0,0,100
INFY,2021-03-25,2021-06-23,2021-06-24,2021-09-22,0.04187062604914379,0.018931144579664196,0.1320640820661337,0.09713372336089816,0.3170477952375896,0.19489775460707867,0,0,100
GAP,2021-03-25,2021-06-23,2021-06-24,2021-09-22,-0.17299510820172936,-0.014234657569487757,0.16712325857554367,-0.31025421295292627,-1.035134844044053,0.045880626193616034,0,1,100
GGB,2021-03-25,2021-06-23,2021-06-24,2021-09-22,0.2448828345616716,0.06269662660910469,0.25719468495043063,-0.22911677516072804,0.9521302300973602,-0.2736448545294088,0,1,100
ABEV,2021-03-25,2021-06-23,2021-06-24,2021-09-22,0.18256222089779564,-0.24406807432672703,0.3089045552173911,-0.2074792089136424,0.5909987982188148,1.1763495513823448,0,0,100
FCX,2021-03-25,2021-06-23,2021-06-24,2021-09-22,0.28029548850193386,-0.0351279171945911,0.210515337597272,-0.14383603386401272,1.3314730019251866,0.24422195364342553,1,1,100
EQNR,2021-03-25,2021-06-23,2021-06-24,2021-09-22,0.08226870330994296,-0.0446333811545329,0.11411057936406388,0.12511181511814617,0.7209559689243968,-0.3567479307400704,0,0,100
HBAN,2021-03-25,2021-06-23,2021-06-24,2021-09-22,-0.06614345786396049,0.012917253768470981,-0.10910636801934012,0.03918445897644435,0.6062291236038206,0.3296524720740986,1,0,100
F,2021-03-25,2021-06-23,2021-06-24,2021-09-22,0.2517740115757008,0.05345296417313171,0.24948558577822805,-0.1295564965220651,1.0091725772065523,-0.41258420540901236,1,1,100
TSM,2021-03-25,2021-06-23,2021-06-24,2021-09-22,-0.014716314754465916,0.09942636739364258,0.06497414367122147,-0.0003471002354899864,-0.22649493972452472,-286.44857371902003,0,1,100
VTRS,2021-03-25,2021-06-23,2021-06-24,2021-09-22,0.1085762549739387,0.015059762888867675,0.026674291711789293,-0.06376834501943653,4.0704456615787485,-0.23616361510209297,1,1,100
MU,2021-03-25,2021-06-23,2021-06-24,2021-09-22,-0.25683322926546714,0.0033000392909302255,-0.04607656447779491,-0.07311705244619485,5.574053364791108,-0.045133647767853446,0,1,100
APH,2021-03-25,2021-06-23,2021-06-24,2021-09-22,0.029706610447892894,-0.0018422458257942066,0.05099150635553132,0.1092495842331475,0.5825795817987335,-0.01686272619457026,0,0,100
