Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Trigger_Up,Trigger_Down
EQT,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.036177870183063496,0.07072546331015059,1,0.8811111111111111,-0.7722222222222221
INFY,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.002418071812945976,0.38116143971803024,1,0.99,-0.99
UMC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.23671940211971318,0.012146230028392286,1,0.11888888888888888,-0.99
JNJ,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.00028928116732839914,0.0403247614258692,1,0.33666666666666667,-0.8811111111111111
PBR-A,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.20378788963311956,-0.09126598397671598,0,0.22777777777777777,-0.22777777777777777
KEY,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.038885764903357,-0.03009057734668051,1,0.11888888888888888,-0.11888888888888888
CNC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.07352938855867341,0.12499276880564197,1,0.6633333333333333,-0.33666666666666667
MDLZ,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.0614977273201958,-0.04799811136556719,0,0.11888888888888888,-0.6633333333333333
MDT,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.18221911943594368,0.14313382886003898,1,0.8811111111111111,-0.22777777777777777
GAP,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.026810135690973604,-0.12614975564393321,0,0.99,-0.8811111111111111
MSFT,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.09644748778062849,0.1120056058795322,1,0.99,-0.22777777777777777
GSK,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.009586044537077999,-0.004362890102794019,1,0.8811111111111111,-0.8811111111111111
TXN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.022917720900873705,0.12315328185591927,1,0.7722222222222221,-0.8811111111111111
GGB,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.36843806410453844,0.04224362402394083,0,0.44555555555555554,-0.11888888888888888
KGC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.24096925559819227,-0.33852830183716687,0,0.22777777777777777,-0.8811111111111111
PLUG,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.1666766106364471,0.4860524099364722,1,0.11888888888888888,-0.11888888888888888
INTC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.08802370197407278,0.002574092950737022,1,0.7722222222222221,-0.01
ABEV,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.0905077484552365,0.20635858528128612,1,0.7722222222222221,-0.33666666666666667
FCX,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.08286024948472218,0.44269755851370524,1,0.01,-0.33666666666666667
EQNR,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.082797178189802,-0.20923640719815947,0,0.44555555555555554,-0.6633333333333333
NKE,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.0209522707697799,-0.021497875352362496,0,0.01,-0.01
AAPL,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.02220144121866582,-0.1424838617830623,0,0.7722222222222221,-0.8811111111111111
AMAT,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.006607256416233996,-0.06250893384270739,0,0.99,-0.44555555555555554
IAG,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.09700623865547839,-0.32013932390211114,0,0.44555555555555554,-0.8811111111111111
HBAN,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.007646861798562205,-0.017393970999108804,0,0.01,-0.44555555555555554
F,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.0938255581915412,0.29229926053008465,1,0.11888888888888888,-0.22777777777777777
BAC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.0368670087686408,-0.0750238311963102,0,0.01,-0.99
TU,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.0501294480355257,0.1128503411011916,1,0.6633333333333333,-0.99
MRVL,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.09034566835506033,0.11447014740607617,1,0.6633333333333333,-0.99
QCOM,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.01972127160524288,0.027341601494287358,1,0.6633333333333333,-0.99
EXC,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.0872566786955768,-0.10043991438588491,0,0.01,-0.8811111111111111
PBR,2006-02-09,2006-08-09,2006-08-10,2007-02-09,0.11933218776914978,-0.3001280892711804,0,0.33666666666666667,-0.33666666666666667
TSM,2006-02-09,2006-08-09,2006-08-10,2007-02-09,-0.04577783497987001,-0.07748588715822928,0,0.11888888888888888,-0.5544444444444444
