Ticker,Train Start,Train End,Test Start,Test End,Precision,F1 Score,Recall,Trigger Up,Trigger Down
NGD,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.4409465304573801,0.3981254703813783,0.3994708994708995,0.0,-0.99
NGD,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3168350836612646,0.2932771165080484,0.30423280423280424,0.0,-0.99
HL,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.3525259115693029,0.3542733108091782,0.35978835978835977,0.495,-0.2475
HL,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.4339835010334525,0.4261567464306316,0.43915343915343913,0.495,-0.2475
HL,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.3812830687830688,0.2413041330970179,0.3862433862433862,0.495,-0.2475
HL,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.36034425288811256,0.3281674035813256,0.36772486772486773,0.495,-0.2475
HL,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.2891289970094318,0.21330235799147518,0.36507936507936506,0.495,-0.2475
HL,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.38174281467079657,0.3504622857521491,0.3994708994708995,0.495,-0.2475
HL,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.48054607429607427,0.1831263029522409,0.29365079365079366,0.495,-0.2475
HL,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.34569611964124736,0.3457654551986542,0.34656084656084657,0.495,-0.2475
HL,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.3349138078170336,0.32283100808094384,0.35978835978835977,0.495,-0.2475
HL,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.40183101944853644,0.3923161825951801,0.3862433862433862,0.495,-0.2475
HL,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.4169604870366452,0.40444672864764186,0.3968253968253968,0.495,-0.2475
HL,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3728719986572642,0.3547319743162438,0.35978835978835977,0.495,-0.2475
SLB,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.3304281643348264,0.3150157835383179,0.31216931216931215,0.99,-0.99
SLB,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.4355796899656548,0.400388740784221,0.3941798941798942,0.99,-0.99
SLB,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.19719169719169719,0.24854977820137197,0.36507936507936506,0.99,-0.99
SLB,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.4027525200054837,0.31561715829977294,0.34656084656084657,0.99,-0.99
