Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,Alpha
ABT,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.11175736968321459,-0.069913440469993,0.007785836963357793,0.17196779583761548,14.35393140251643,-0.4065496108120753,1,0,1.1111111111111112,-0.5555555555555556,0.12
CNQ,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.6081680472003756,0.020633976036285695,0.6349318515460824,0.070282466727696,0.957847752824912,0.2935863949714577,0,0,0.0,-1.6666666666666667,0.12
VZ,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.053873866561466,0.0059524042870768,0.038771754180397286,0.0635843798618595,1.389513260369948,0.0936142540040293,1,0,1.6666666666666667,-1.1111111111111112,0.01
BMY,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.13310114221990443,0.09567042731518322,0.13101645888784713,0.17869756550435867,1.0159116140808067,0.5353762209639599,1,0,0.0,-1.1111111111111112,0.12
NEM,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.12499804935607989,-0.08784935186829751,0.08369539236215726,0.15959792969266628,1.4934878232627482,-0.5504416757627545,1,0,1.1111111111111112,-1.1111111111111112,0.12
CLF,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.8919305398707559,0.4557627929582451,1.0894647911500135,0.716800902619164,0.8186868883842083,0.6358289886255789,0,0,0.0,-1.6666666666666667,0.12
DIS,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.6325674591030997,-0.23652361915561942,0.5326406012205809,0.19084823499662096,1.1876065355392171,-1.239328302720783,1,0,0.0,0.0,0.12
LNW,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.5623826754243695,0.5753605289988467,0.24342148166415248,-0.031315820676954265,2.310324756794827,-18.37283892171034,1,1,0.0,0.0,0.12
T,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.0935458984795243,0.026948701129242594,0.0976982013177076,0.015247013120751015,0.9574986767189264,1.7674741220341519,0,1,0.0,-1.6666666666666667,0.12
CRM,2009-03-20,2009-09-17,2009-09-18,2010-03-19,0.598946058695756,0.17984137327614455,0.581846846532066,0.2944732213511894,1.0293878230424467,0.6107223347880089,1,0,0.0,0.0,0.12
AMZN,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.3454991348308123,-0.13740476524427508,0.4195282082201985,0.1595174026100381,0.8235420838483156,-0.861377899815606,0,0,0.0,-0.5555555555555556,0.12
ASX,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.2599447984111827,-0.14875877562858322,0.1273370204823591,-0.0028662502702595186,2.0413921845076834,51.90013488079468,1,0,0.0,0.0,0.01
FHN,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.06023348889268608,-0.008867195664305702,0.05780773843134112,-0.21784005040926394,1.0419623830160047,0.04070507534150209,1,1,0.5555555555555556,-1.1111111111111112,0.12
MCHP,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.08696910196296749,-0.2145314754502081,0.08136299480502128,0.07630176598569999,1.0689024189851999,-2.8116187440591385,1,0,0.0,-1.6666666666666667,0.12
EQT,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.06732121929059152,-0.0036282386931396834,0.024705281698175825,-0.15918199936743363,2.724972745223235,0.022793021243342728,1,1,0.0,-1.1111111111111112,0.01
PBR-A,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.34064709121760633,0.25081021916124496,0.1012545882395995,-0.201072050365402,3.3642632609549556,-1.2473649057910106,1,1,0.0,0.0,0.12
CNC,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.27789882041509506,-0.08750566752415423,0.15963805356857932,-0.06648595352394933,1.7408056174758595,1.3161527042344854,1,0,0.0,0.0,0.12
MDLZ,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.14918481620758992,-0.030255754581782292,0.1308192029627228,0.08122413565920987,1.1403892764130388,-0.3724970950595969,1,0,0.0,-0.5555555555555556,0.12
GSK,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.11311554515647099,0.0329689622664107,0.022013142147983052,0.05652013183955197,5.138546073797791,0.5833136122187792,1,0,0.0,-0.5555555555555556,0.12
GGB,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.302087815212168,0.13506031525675422,0.18965208088164348,-0.0032064231544022236,1.5928526268092595,-42.12180013462186,1,1,0.0,0.0,0.12
INTC,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.1368216155433068,-0.268480706737473,0.1478060101491124,-0.13216074244128592,0.925683708025647,2.031470932881214,0,0,0.0,-2.2222222222222223,0.12
FCX,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.3464768312127144,-0.008300460216112103,0.15813366135590676,0.08341682573491428,2.1910378109370985,-0.09950582682790732,1,0,0.0,0.0,0.12
AAPL,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.23384823952286626,0.2809687662399828,0.2013582633647102,0.2248144223562486,1.1613540741524404,1.2497808783581958,1,1,0.0,0.0,0.12
PBR,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.31296641773812073,0.45567005568524915,0.04117450216599208,-0.18851507126108333,7.600976363391568,-2.417154515217356,1,1,0.0,0.0,0.12
HAL,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.2445394356471851,0.1980014708735453,0.11675158123360246,0.07653161634730016,2.0945278262047538,2.5871852748413864,1,1,0.0,0.0,0.12
LOW,2009-09-18,2010-03-19,2010-03-22,2010-09-17,0.16198874957070775,-0.13384549095521187,0.14234753909917372,-0.1372293434152647,1.1379806816178955,0.9753416260995065,1,1,0.0,0.0,0.12
