Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,C
VZ,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.09307802436440797,-0.08542960011055821,0.1684101671879633,-0.1833944579369702,0.5526864910746344,0.4658243279080932,0,1,0.0,-1.1111111111111112,2.0
NEM,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.036339687060736495,0.09181496570447492,0.060279593665169516,0.09181496570447492,0.6028522233011356,1.0,0,0,0.0,-1.1111111111111112,2.0
CLF,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.22478675722437474,0.1245682951784308,0.3313738841332,0.32405879317885944,0.6783478360473899,0.38440029340502163,0,0,0.0,-1.1111111111111112,1.005
BBD,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.2002034634695187,0.13612983928231986,0.31301223111919185,0.14250625851869342,0.6396026850250567,0.9552551635089267,0,0,0.0,-1.1111111111111112,2.0
BB,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.5102911850256239,0.3716600572552631,0.76056445870207,0.20098943421900797,0.6709374586033822,1.8491522138934129,0,1,0.0,-1.1111111111111112,2.0
LNW,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.10975430020164222,0.1283563613252046,0.1363099888669645,-0.541195798977265,0.8051816386600982,-0.2371717621751101,0,1,0.0,0.0,1.5025
CCJ,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.09509667135126809,-0.015572185670343713,0.17027668834766946,-0.18730826122742333,0.5584832091466363,0.08313667303459987,0,1,0.0,-1.1111111111111112,1.5025
IRM,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.1308258272421362,-0.16787947870369097,0.07262982208842261,-0.13995568148003015,1.8012687279181727,1.199518854314215,1,0,0.0,0.0,2.0
ON,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.1709575650580922,-0.7341133353419748,0.24607535169344458,-0.8484526247075267,0.6947366482729546,0.8652378623910012,0,1,0.0,-1.1111111111111112,1.5025
TGT,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.10428171845860648,-0.17414242370693736,0.11954381450403767,-0.23157954907217884,0.8723305249313782,0.751976693989764,0,1,0.0,-1.1111111111111112,1.5025
LUMN,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.17622585081149156,-0.33324014438588256,0.03811452821537,-0.2913345665030083,4.623587357967795,1.1438400474955022,1,0,0.0,0.0,2.0
VALE,2007-03-21,2007-09-18,2007-09-19,2008-03-19,0.37454208035901604,0.03981530204364016,0.5265425900775726,0.12255661112475069,0.7113234283742115,0.3248727398566207,0,0,0.0,-1.1111111111111112,2.0
CDE,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.23640214505712262,-0.7822438724188668,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,1.005
ORCL,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.02984563247445005,-0.07765364400077712,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,0.5075
PTEN,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.02085474389214626,-0.012913403402064712,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,1.005
KMB,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.0596119465182403,0.020645058136884407,-0.0,0.0,1,0,1.1111111111111112,-1.1111111111111112,1.005
OXY,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.12494191515519665,0.04117155417613447,0.0,0.0,0,0,1.1111111111111112,-1.1111111111111112,0.5075
AES,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.1608718027189049,-0.3153949654551586,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,2.0
MSTR,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.056483857585022224,-0.20583203858657004,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,1.5025
CAG,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.17693354944133388,-0.11111065098859438,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,1.5025
FE,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.013808503966787199,0.08300139252151727,0.08228477580602922,-0.06599778091358441,0.1678135940886335,-1.2576391413856307,0,1,0.0,-1.1111111111111112,1.5025
NVO,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.052415102462105706,-0.25726551797084257,0.14659016276400186,-0.24094804675761763,0.35756220931748145,1.0677219484980491,0,0,0.0,-1.1111111111111112,1.5025
EQT,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.07194241555692599,-0.47755501234026393,0.1510289204017449,-0.35213649426782917,0.47634860505892096,1.356164499033842,0,0,0.0,0.0,1.5025
JNJ,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.11996215440214249,-0.043945626013288906,0.023057019320355185,0.07883126859145709,5.202847459829188,-0.5574644021148135,1,0,0.0,0.0,2.0
PBR-A,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.4084218692499959,-0.14629794863732692,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,2.0
KEY,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.37581509786291145,-0.47538597043458747,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,1.005
CNC,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.3232823011343632,0.3868717890033264,-0.0,0.0,1,0,1.1111111111111112,-1.1111111111111112,1.005
MDLZ,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.10198610303375671,0.06503630472607909,-0.0,0.0,1,0,1.1111111111111112,-1.1111111111111112,2.0
GAP,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.13231399840282113,-0.10271939741862834,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,1.005
MSFT,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.09004827800545843,0.00921419693385768,0.030037776847212094,-0.13815825028197198,2.9978343092263873,-0.06669306331726194,1,1,0.0,0.0,1.005
TXN,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.1983060180188964,-0.20653241056019983,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,1.5025
GGB,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.12879959130627225,-0.3517681057249093,0.2897212639014961,-0.14409474623864574,0.44456381824312186,2.441227837289228,0,0,0.0,-1.1111111111111112,2.0
KGC,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.4944687036467783,-0.28536232072292694,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,2.0
PLUG,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.15571919534575782,-0.24679178000403548,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,1.005
ABEV,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.03038881801919928,-0.34165032542021545,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,2.0
FCX,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.0999351856853771,-0.19387756593782085,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,1.5025
EQNR,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.13474254965321839,-0.12763497581474237,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,1.005
NKE,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.07182855784971692,-0.07638039362775911,0.07837585519577461,-0.09283125244052153,0.9164628273630542,0.8227874947254132,0,1,0.0,-1.1111111111111112,2.0
AMAT,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.02082057122948925,-0.2618700296567458,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,1.5025
IAG,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.0859621730074573,-0.2324483243475689,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,2.0
HBAN,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.4198038384733067,0.013524531827846437,-0.0,0.0,1,0,1.1111111111111112,-1.1111111111111112,2.0
QCOM,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.018848958034610293,0.21189682916044247,-0.0,0.0,1,0,1.1111111111111112,-1.1111111111111112,2.0
EXC,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.0437739677666442,-0.2246363564936806,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,2.0
PBR,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.43943237497773024,-0.12810790334887656,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,2.0
TSM,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.00563190714303248,-0.06300715926299452,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,1.005
CTRA,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.15186557708368298,-0.16902056868795612,0.2944783026510846,-0.1409271458388603,0.5157105828052206,1.1993471355846415,0,0,0.0,-1.1111111111111112,0.5075
DVN,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.18357060666128558,0.03131407130429509,0.0,0.0,0,0,1.1111111111111112,-1.1111111111111112,0.5075
WMT,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.05695867485370911,-0.016684184251368098,0.1484947956967907,0.13607503966879397,0.3835735426715707,-0.12261017370986865,0,0,0.0,-1.1111111111111112,1.5025
APH,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.06640125081172167,0.20411569410686703,-0.0,0.0,1,0,1.1111111111111112,-1.1111111111111112,1.005
PFE,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.1515298492510831,-0.13362697348045155,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,1.005
RIG,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.05886818939757485,-0.09096191930719283,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,1.5025
B,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.2207652101278149,-0.17755360604784298,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,0.5075
CSX,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.02817608143041401,0.09959382065389735,0.3062944643071389,0.02470103234449475,0.09199017518697382,4.031969970522076,0,1,0.0,-1.1111111111111112,1.005
WDC,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.5323021716029983,-0.05298961726295106,0.2995569796616191,-0.2721507358284111,1.776964676984957,0.19470686750727947,1,1,0.0,0.0,0.5075
VLY,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.10850854173264572,0.09372040880984578,-0.0,0.0,1,0,1.1111111111111112,-1.1111111111111112,1.5025
NGD,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.2042464964760886,-0.4574851716056603,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,2.0
HL,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.17148400981090745,-0.16323075170084705,0.35630436264478577,-0.6194076760045455,0.48128518140505283,0.26352716962398315,0,1,0.0,-1.1111111111111112,2.0
SLB,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.24122860776722582,0.06390272989490273,-0.0,0.0,1,0,1.1111111111111112,-1.1111111111111112,1.005
EXAS,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.19692181274916945,-0.6970478696133009,0.0,-0.0,0,1,1.1111111111111112,-1.1111111111111112,2.0
BAX,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.0518164540141881,0.1430834875598576,0.0,0.0,0,0,1.1111111111111112,-1.1111111111111112,0.5075
KO,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0031651284294550025,0.012252342029507502,0.077534252261149,-0.12306259050375082,0.04082232480677434,-0.09956187318463822,0,1,0.0,-1.1111111111111112,0.5075
CPRT,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.23202134056573895,0.0036318868761590004,0.2738818825862716,0.15537709818811357,0.8471584114099012,0.023374660220272035,0,0,0.0,-1.1111111111111112,1.005
BP,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.12148749327215722,-0.10951153006666207,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,2.0
XOM,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,-0.060646244156633014,-0.0925765366399596,-0.0,-0.0,1,1,1.1111111111111112,-1.1111111111111112,1.005
ABT,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.02963936487572233,0.054650266809636576,0.0,0.0,0,0,1.1111111111111112,-1.1111111111111112,2.0
ITUB,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.06351445352924498,-0.04559655136583961,0.10815605618986746,-0.16675422793454264,0.5872482389497048,0.27343565395977837,0,1,0.0,-1.1111111111111112,2.0
^VIX,2007-09-19,2008-03-19,2008-03-20,2008-09-17,0.0,0.0,0.7672018177537373,0.5506706721853462,0.0,0.0,0,0,1.1111111111111112,-1.1111111111111112,1.005
