Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,C
HL,2011-09-19,2012-03-19,2012-03-20,2012-09-17,-0.23824370161069874,-0.19979655597532284,-0.2829734487791944,0.38040865228124243,0.8419295260333824,-0.5252155932237049,1,0,0.01
SLB,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.3982523897234442,0.015004352907422296,0.13393099043934234,0.045422085138863505,2.9735641349103115,0.33033166270441533,1,0,1.12
BAX,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.11757779677792335,0.0822917379514012,0.09382713895532861,0.04732131920372272,1.2531320691117152,1.738999236203191,1,1,1.12
AMD,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.25044978400604295,-0.08902675418489689,0.24825870226346464,-0.6382883296196533,1.0088258003550385,0.13947733344575897,1,1,0.01
BP,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.1475666728398358,0.13880656630990232,0.23730646777027242,-0.027737586771937897,0.6218400797347403,-5.004276956434179,0,1,0.01
^VIX,2011-09-19,2012-03-19,2012-03-20,2012-09-17,-0.5528403016309322,-1.0444526024905814,-0.47478854570749957,0.19959552558561527,1.1643926683343317,-5.232845773602123,0,0,1.12
APA,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.473541552067054,0.21857031408806823,0.1730691691629642,-0.11431168954663921,2.736140436550898,-1.9120556695025617,1,1,0.01
VZ,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.06117488230854641,-0.003515850962952297,0.12120675083498139,0.14726002912700684,0.5047151407584038,-0.02387512065422718,0,0,1.12
CLF,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.6490679035874594,0.22382860605942503,0.07553058756507132,-0.4369440301854127,8.593444384743766,-0.5122592153609369,1,1,0.01
BBWI,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.1429608879044648,0.1200553846220629,0.21827876354850603,0.10844871465465598,0.6549463886471757,1.1070245046644138,0,1,0.01
CCJ,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.20693160813456254,-0.186654637574436,0.18204878049213394,-0.04509105796164565,1.1366821989972284,4.139504505154969,1,0,0.01
GOOG,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.22255909843543825,0.029865228035750528,0.16643216906401473,0.1255391055381696,1.3372360625176702,0.2378958166678202,1,0,2.23
IRM,2011-09-19,2012-03-19,2012-03-20,2012-09-17,-0.08934222757243883,0.056522757589537016,-0.11283510671215069,0.16417640197213285,0.7917945945702551,0.34428064515100737,1,0,10.0
TGT,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.2601843857536536,-0.07133072269008592,0.12274211054909433,0.12164073545100669,2.119764639777684,-0.5864048949195628,1,0,0.01
GOOGL,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.22255899215086858,0.02986479236615411,0.1664321179352349,0.12553921870597093,1.3372358347171596,0.2378921318293474,1,0,2.23
LUMN,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.08187902449588638,0.010292507676473113,0.17729881325559205,0.11326509803275742,0.4618137199703106,0.09087095544204107,0,0,1.12
CRM,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.23359572642565984,-0.16875043763624234,0.15102528257554915,0.08523468946454325,1.5467325896828268,-1.9798328438380803,1,0,0.01
LRCX,2011-09-19,2012-03-19,2012-03-20,2012-09-17,0.44366197728823153,0.029277232632273918,0.16235810863386832,-0.2410793496366503,2.7326136096394666,-0.1214423080052271,1,1,1.12
CDE,2012-03-20,2012-09-17,2012-09-18,2013-03-21,0.3353345445113756,-0.3458516200773605,0.20997229111350438,-0.33486708048807834,1.5970418893515068,1.0328026856903099,1,0,2.23
ASX,2012-03-20,2012-09-17,2012-09-18,2013-03-21,-0.06091920912292152,-0.20125514344741796,-0.04507319977992173,0.04601688171291765,1.351561669026625,-4.373506764386482,0,0,2.23
PTEN,2012-03-20,2012-09-17,2012-09-18,2013-03-21,-0.11794343429727415,0.448834180691433,-0.0023324458888574155,0.35644311767556724,50.56641822248256,1.2592028248949378,0,1,1.12
MSTR,2012-03-20,2012-09-17,2012-09-18,2013-03-21,0.027964065163462754,0.09493813143538202,0.03215144480342001,-0.18651672406309722,0.869760762990289,-0.5090059988575886,0,1,1.12
CAG,2012-03-20,2012-09-17,2012-09-18,2013-03-21,-0.0551515089700101,0.14147162558464998,-0.003646882154230601,0.3374759645227557,15.122920521583364,0.41920504111963414,0,0,0.01
FE,2012-03-20,2012-09-17,2012-09-18,2013-03-21,0.0818582611407578,-0.049899302150758815,0.007877144282456503,-0.010981861709771489,10.391870226760672,4.54379261636114,1,0,2.23
